 [QUOTE_READTIME], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.015140, 0.005620, , , 0.000000, 3 x 1, 148.980000, 151.560000,260.0, 0.010000, 0.010000, 0 x 721, 0.010000, -0.001070, 0.000040, 0.000660, -0.010270, -0.000370, 3.245290, 1.000000,150.7,0.367
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.016340, 0.005470, , , 0.000000, 11 x 1, 144.090000, 146.540000,265.0, 0.010000, 0.010000, 0 x 721, 0.010000, -0.000270, 0.000050, 0.000110, -0.010180, 0.000000, 3.111400, 1.000000,145.7,0.355
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.016460, 0.005050, , , 0.000000, 11 x 1, 139.090000, 141.510000,270.0, 0.010000, 0.010000, 0 x 728, 0.040000, -0.000610, 0.000000, -0.000030, -0.009810, -0.000170, 2.988850, 0.000000,140.7,0.343
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.016190, 0.005680, , , 0.000000, 11 x 1, 134.090000, 136.540000,275.0, 0.010000, 0.010000, 0 x 2222, 0.010000, -0.000700, 0.000060, 0.000260, -0.010590, 0.000000, 2.872410, 0.000000,135.7,0.33
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.016820, 0.006020, , , 0.000000, 11 x 1, 129.090000, 131.560000,280.0, 0.010000, 0.010000, 0 x 2115, 0.010000, -0.000830, 0.000100, 0.000320, -0.009880, 0.000000, 2.742480, 0.000000,130.7,0.318
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.017480, 0.006130, , , 0.000000, 11 x 1, 124.090000, 126.540000,285.0, 0.010000, 0.010000, 0 x 816, 0.010000, -0.000710, 0.000060, 0.000540, -0.010240, -0.000160, 2.626600, 0.000000,125.7,0.306
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.017020, 0.005530, , , 0.000000, 11 x 1, 119.090000, 121.540000,290.0, 0.010000, 0.010000, 0 x 715, 0.010000, -0.000370, 0.000080, 0.000340, -0.010520, 0.000000, 2.508570, 0.000000,120.7,0.294
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.017590, 0.005440, , , 0.000000, 11 x 1, 114.090000, 116.540000,295.0, 0.010000, 0.010000, 0 x 1152, 0.020000, -0.000930, 0.000070, 0.000370, -0.009520, 0.000000, 2.387350, 0.000000,115.7,0.282
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.017800, 0.005810, , , 0.000000, 11 x 1, 109.090000, 111.540000,300.0, 0.010000, 0.010000, 0 x 2425, 0.010000, -0.000850, 0.000080, 0.000760, -0.010330, -0.000310, 2.281530, 0.000000,110.7,0.27
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.018440, 0.005820, , , 0.000000, 3 x 1, 103.990000, 106.540000,305.0, 0.010000, 0.010000, 0 x 731, 0.010000, -0.001280, 0.000060, 0.000530, -0.010490, -0.000130, 2.172120, 0.000000,105.7,0.257
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019060, 0.005950, , , 0.000000, 11 x 1, 99.090000, 101.550000,310.0, 0.010000, 0.010000, 0 x 731, 0.010000, -0.000830, 0.000120, 0.000960, -0.010260, -0.000320, 2.057790, 0.000000,100.7,0.245
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.018780, 0.006070, , , 0.000000, 3 x 1, 93.990000, 96.520000,315.0, 0.010000, 0.010000, 0 x 731, 0.010000, -0.000530, 0.000130, 0.000340, -0.010270, 0.000000, 1.952190, 0.000000,95.7,0.233
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019480, 0.006250, , 0.000000, 53.940000, 11 x 1, 89.090000, 91.550000,320.0, 0.010000, 0.010000, 0 x 731, 0.010000, -0.000640, 0.000140, 0.000590, -0.010520, 0.000000, 1.842560, 0.000000,90.7,0.221
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019710, 0.006860, , , 0.000000, 13 x 2, 84.090000, 86.550000,325.0, 0.010000, 0.010000, 0 x 736, 0.010000, -0.001470, 0.000130, 0.001070, -0.010530, 0.000000, 1.741110, 0.000000,85.7,0.209
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019370, 0.006820, , , 0.000000, 13 x 2, 79.090000, 81.550000,330.0, 0.010000, 0.010000, 0 x 743, 0.010000, -0.001230, 0.000010, 0.000880, -0.010480, 0.000000, 1.631950, 0.000000,80.7,0.197
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020040, 0.007020, , , 0.000000, 13 x 3, 78.090000, 80.520000,331.0, 0.010000, 0.010000, 0 x 716, 0.020000, -0.001160, 0.000110, 0.000380, -0.010330, -0.000240, 1.611450, 0.000000,79.7,0.194
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019500, 0.006910, , , 0.000000, 13 x 3, 77.090000, 79.520000,332.0, 0.010000, 0.010000, 0 x 713, 0.080000, -0.001430, 0.000100, 0.000870, -0.009990, 0.000000, 1.590940, 0.000000,78.7,0.192
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020020, 0.007110, , , 0.000000, 13 x 3, 76.090000, 78.520000,333.0, 0.010000, 0.010000, 0 x 1152, 0.080000, -0.001560, 0.000150, 0.001170, -0.010640, -0.000190, 1.570750, 0.000000,77.7,0.189
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020200, 0.006770, , , 0.000000, 13 x 3, 75.090000, 77.520000,334.0, 0.010000, 0.010000, 0 x 713, 0.060000, -0.001390, 0.000170, 0.001170, -0.010670, 0.000000, 1.550120, 0.000000,76.7,0.187
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020000, 0.006800, , , 0.000000, 13 x 2, 74.090000, 76.550000,335.0, 0.010000, 0.010000, 0 x 728, 0.020000, -0.000800, 0.000150, 0.000950, -0.009890, 0.000000, 1.530130, 0.000000,75.7,0.184
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020560, 0.006460, , , 0.000000, 13 x 3, 73.090000, 75.520000,336.0, 0.010000, 0.010000, 0 x 728, 0.000000, -0.001180, 0.000140, 0.001260, -0.009980, 0.000000, 1.509970, ,74.7,0.182
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019860, 0.006900, , , 0.000000, 13 x 3, 72.090000, 74.520000,337.0, 0.010000, 0.010000, 0 x 713, 0.120000, -0.000890, 0.000190, 0.000800, -0.010760, -0.000430, 1.490580, 0.000000,73.7,0.179
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019770, 0.006730, , , 0.000000, 13 x 3, 71.090000, 73.520000,338.0, 0.010000, 0.010000, 0 x 713, 0.110000, -0.001570, 0.000150, 0.000340, -0.010470, 0.000000, 1.464720, 0.000000,72.7,0.177
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.019900, 0.006620, , , 0.000000, 13 x 3, 70.090000, 72.520000,339.0, 0.010000, 0.010000, 0 x 713, 0.020000, -0.001130, 0.000140, 0.000980, -0.010080, -0.000130, 1.443540, 0.000000,71.7,0.175
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020640, 0.007220, , , 0.000000, 13 x 2, 69.090000, 71.550000,340.0, 0.010000, 0.010000, 0 x 728, 0.010000, -0.001220, 0.000190, 0.001000, -0.009850, 0.000000, 1.424000, 2.000000,70.7,0.172
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020660, 0.006550, , , 0.000000, 13 x 3, 68.090000, 70.520000,341.0, 0.010000, 0.010000, 0 x 713, 0.020000, -0.001560, 0.000140, 0.001080, -0.009860, -0.000350, 1.402670, 0.000000,69.7,0.17
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020750, 0.007060, , 0.000000, 52.990000, 13 x 3, 67.090000, 69.520000,342.0, 0.010000, 0.010000, 0 x 2226, 0.020000, -0.001570, 0.000170, 0.001290, -0.010040, 0.000000, 1.382770, 0.000000,68.7,0.167
